Date,DateKey,Year,Quarter,Month,MonthName,MonthIdx,Day,FiscalYear,FiscalQuarter,FiscalMonth,Weekday,IsWeekend,IsCurrentMonth,SeasonalityWeight,TrendWeight,DemandWeight
2022-01-19,20220119,2022,Q1,1,Jan,202201,19,2021,FQ4,10,Wednesday,False,False,0.9,0.9033783783783784,0.8130405405405406
2022-01-20,20220120,2022,Q1,1,Jan,202201,20,2021,FQ4,10,Thursday,False,False,0.9,0.903566066066066,0.8132094594594594
2022-01-21,20220121,2022,Q1,1,Jan,202201,21,2021,FQ4,10,Friday,False,False,0.9,0.9037537537537538,0.8133783783783785
2022-01-22,20220122,2022,Q1,1,Jan,202201,22,2021,FQ4,10,Saturday,True,False,1.035,0.9039414414414415,0.9355793918918919
2022-01-23,20220123,2022,Q1,1,Jan,202201,23,2021,FQ4,10,Sunday,True,False,1.035,0.9041291291291291,0.9357736486486485
2022-01-24,20220124,2022,Q1,1,Jan,202201,24,2021,FQ4,10,Monday,False,False,0.9,0.9043168168168169,0.8138851351351352
2022-01-25,20220125,2022,Q1,1,Jan,202201,25,2021,FQ4,10,Tuesday,False,False,0.9,0.9045045045045045,0.8140540540540541
2022-01-26,20220126,2022,Q1,1,Jan,202201,26,2021,FQ4,10,Wednesday,False,False,0.9,0.9046921921921922,0.814222972972973
2022-01-27,20220127,2022,Q1,1,Jan,202201,27,2021,FQ4,10,Thursday,False,False,0.9,0.90487987987988,0.814391891891892
2022-01-28,20220128,2022,Q1,1,Jan,202201,28,2021,FQ4,10,Friday,False,False,0.9,0.9050675675675676,0.8145608108108108
2022-01-29,20220129,2022,Q1,1,Jan,202201,29,2021,FQ4,10,Saturday,True,False,1.035,0.9052552552552553,0.9369391891891892
2022-01-30,20220130,2022,Q1,1,Jan,202201,30,2021,FQ4,10,Sunday,True,False,1.035,0.9054429429429429,0.9371334459459458
2022-01-31,20220131,2022,Q1,1,Jan,202201,31,2021,FQ4,10,Monday,False,False,0.9,0.9056306306306307,0.8150675675675676
2022-02-01,20220201,2022,Q1,2,Feb,202202,1,2021,FQ4,11,Tuesday,False,False,0.92,0.9058183183183184,0.833352852852853
2022-02-02,20220202,2022,Q1,2,Feb,202202,2,2021,FQ4,11,Wednesday,False,False,0.92,0.906006006006006,0.8335255255255256
2022-02-03,20220203,2022,Q1,2,Feb,202202,3,2021,FQ4,11,Thursday,False,False,0.92,0.9061936936936937,0.8336981981981982
2022-02-04,20220204,2022,Q1,2,Feb,202202,4,2021,FQ4,11,Friday,False,False,0.92,0.9063813813813814,0.8338708708708709
2022-02-05,20220205,2022,Q1,2,Feb,202202,5,2021,FQ4,11,Saturday,True,False,1.058,0.9065690690690691,0.9591500750750751
2022-02-06,20220206,2022,Q1,2,Feb,202202,6,2021,FQ4,11,Sunday,True,False,1.058,0.9067567567567568,0.9593486486486488
2022-02-07,20220207,2022,Q1,2,Feb,202202,7,2021,FQ4,11,Monday,False,False,0.92,0.9069444444444444,0.834388888888889
2022-02-08,20220208,2022,Q1,2,Feb,202202,8,2021,FQ4,11,Tuesday,False,False,0.92,0.9071321321321322,0.8345615615615616
2022-02-09,20220209,2022,Q1,2,Feb,202202,9,2021,FQ4,11,Wednesday,False,False,0.92,0.9073198198198198,0.8347342342342342
2022-02-10,20220210,2022,Q1,2,Feb,202202,10,2021,FQ4,11,Thursday,False,False,0.92,0.9075075075075075,0.8349069069069069
2022-02-11,20220211,2022,Q1,2,Feb,202202,11,2021,FQ4,11,Friday,False,False,0.92,0.9076951951951953,0.8350795795795797
2022-02-12,20220212,2022,Q1,2,Feb,202202,12,2021,FQ4,11,Saturday,True,False,1.058,0.9078828828828829,0.9605400900900901
2022-02-13,20220213,2022,Q1,2,Feb,202202,13,2021,FQ4,11,Sunday,True,False,1.058,0.9080705705705706,0.9607386636636638
2022-02-14,20220214,2022,Q1,2,Feb,202202,14,2021,FQ4,11,Monday,False,False,0.92,0.9082582582582582,0.8355975975975977
2022-02-15,20220215,2022,Q1,2,Feb,202202,15,2021,FQ4,11,Tuesday,False,False,0.92,0.908445945945946,0.8357702702702703
2022-02-16,20220216,2022,Q1,2,Feb,202202,16,2021,FQ4,11,Wednesday,False,False,0.92,0.9086336336336337,0.835942942942943
2022-02-17,20220217,2022,Q1,2,Feb,202202,17,2021,FQ4,11,Thursday,False,False,0.92,0.9088213213213213,0.8361156156156156
2022-02-18,20220218,2022,Q1,2,Feb,202202,18,2021,FQ4,11,Friday,False,False,0.92,0.909009009009009,0.8362882882882884
2022-02-19,20220219,2022,Q1,2,Feb,202202,19,2021,FQ4,11,Saturday,True,False,1.058,0.9091966966966967,0.9619301051051051
2022-02-20,20220220,2022,Q1,2,Feb,202202,20,2021,FQ4,11,Sunday,True,False,1.058,0.9093843843843844,0.9621286786786788
2022-02-21,20220221,2022,Q1,2,Feb,202202,21,2021,FQ4,11,Monday,False,False,0.92,0.9095720720720721,0.8368063063063064
2022-02-22,20220222,2022,Q1,2,Feb,202202,22,2021,FQ4,11,Tuesday,False,False,0.92,0.9097597597597598,0.836978978978979
2022-02-23,20220223,2022,Q1,2,Feb,202202,23,2021,FQ4,11,Wednesday,False,False,0.92,0.9099474474474475,0.8371516516516517
2022-02-24,20220224,2022,Q1,2,Feb,202202,24,2021,FQ4,11,Thursday,False,False,0.92,0.9101351351351351,0.8373243243243244
2022-02-25,20220225,2022,Q1,2,Feb,202202,25,2021,FQ4,11,Friday,False,False,0.92,0.9103228228228228,0.8374969969969971
2022-02-26,20220226,2022,Q1,2,Feb,202202,26,2021,FQ4,11,Saturday,True,False,1.058,0.9105105105105106,0.9633201201201202
2022-02-27,20220227,2022,Q1,2,Feb,202202,27,2021,FQ4,11,Sunday,True,False,1.058,0.9106981981981982,0.9635186936936937
2022-02-28,20220228,2022,Q1,2,Feb,202202,28,2021,FQ4,11,Monday,False,False,0.92,0.9108858858858859,0.8380150150150151
2022-03-01,20220301,2022,Q1,3,Mar,202203,1,2021,FQ4,12,Tuesday,False,False,1.0,0.9110735735735735,0.9110735735735735
2022-03-02,20220302,2022,Q1,3,Mar,202203,2,2021,FQ4,12,Wednesday,False,False,1.0,0.9112612612612613,0.9112612612612613
2022-03-03,20220303,2022,Q1,3,Mar,202203,3,2021,FQ4,12,Thursday,False,False,1.0,0.911448948948949,0.911448948948949
2022-03-04,20220304,2022,Q1,3,Mar,202203,4,2021,FQ4,12,Friday,False,False,1.0,0.9116366366366366,0.9116366366366366
2022-03-05,20220305,2022,Q1,3,Mar,202203,5,2021,FQ4,12,Saturday,True,False,1.15,0.9118243243243244,1.0485979729729729
2022-03-06,20220306,2022,Q1,3,Mar,202203,6,2021,FQ4,12,Sunday,True,False,1.15,0.912012012012012,1.0488138138138137
2022-03-07,20220307,2022,Q1,3,Mar,202203,7,2021,FQ4,12,Monday,False,False,1.0,0.9121996996996997,0.9121996996996997
2022-03-08,20220308,2022,Q1,3,Mar,202203,8,2021,FQ4,12,Tuesday,False,False,1.0,0.9123873873873874,0.9123873873873874
2022-03-09,20220309,2022,Q1,3,Mar,202203,9,2021,FQ4,12,Wednesday,False,False,1.0,0.9125750750750751,0.9125750750750751
2022-03-10,20220310,2022,Q1,3,Mar,202203,10,2021,FQ4,12,Thursday,False,False,1.0,0.9127627627627628,0.9127627627627628
2022-03-11,20220311,2022,Q1,3,Mar,202203,11,2021,FQ4,12,Friday,False,False,1.0,0.9129504504504504,0.9129504504504504
2022-03-12,20220312,2022,Q1,3,Mar,202203,12,2021,FQ4,12,Saturday,True,False,1.15,0.9131381381381382,1.0501088588588587
2022-03-13,20220313,2022,Q1,3,Mar,202203,13,2021,FQ4,12,Sunday,True,False,1.15,0.9133258258258259,1.0503246996996998
2022-03-14,20220314,2022,Q1,3,Mar,202203,14,2021,FQ4,12,Monday,False,False,1.0,0.9135135135135135,0.9135135135135135
2022-03-15,20220315,2022,Q1,3,Mar,202203,15,2021,FQ4,12,Tuesday,False,False,1.0,0.9137012012012012,0.9137012012012012
2022-03-16,20220316,2022,Q1,3,Mar,202203,16,2021,FQ4,12,Wednesday,False,False,1.0,0.9138888888888889,0.9138888888888889
2022-03-17,20220317,2022,Q1,3,Mar,202203,17,2021,FQ4,12,Thursday,False,False,1.0,0.9140765765765766,0.9140765765765766
2022-03-18,20220318,2022,Q1,3,Mar,202203,18,2021,FQ4,12,Friday,False,False,1.0,0.9142642642642643,0.9142642642642643
2022-03-19,20220319,2022,Q1,3,Mar,202203,19,2021,FQ4,12,Saturday,True,False,1.15,0.914451951951952,1.0516197447447446
2022-03-20,20220320,2022,Q1,3,Mar,202203,20,2021,FQ4,12,Sunday,True,False,1.15,0.9146396396396397,1.0518355855855857
2022-03-21,20220321,2022,Q1,3,Mar,202203,21,2021,FQ4,12,Monday,False,False,1.0,0.9148273273273273,0.9148273273273273
2022-03-22,20220322,2022,Q1,3,Mar,202203,22,2021,FQ4,12,Tuesday,False,False,1.0,0.915015015015015,0.915015015015015
2022-03-23,20220323,2022,Q1,3,Mar,202203,23,2021,FQ4,12,Wednesday,False,False,1.0,0.9152027027027028,0.9152027027027028
2022-03-24,20220324,2022,Q1,3,Mar,202203,24,2021,FQ4,12,Thursday,False,False,1.0,0.9153903903903904,0.9153903903903904
2022-03-25,20220325,2022,Q1,3,Mar,202203,25,2021,FQ4,12,Friday,False,False,1.0,0.9155780780780781,0.9155780780780781
2022-03-26,20220326,2022,Q1,3,Mar,202203,26,2021,FQ4,12,Saturday,True,False,1.15,0.9157657657657657,1.0531306306306305
2022-03-27,20220327,2022,Q1,3,Mar,202203,27,2021,FQ4,12,Sunday,True,False,1.15,0.9159534534534535,1.0533464714714713
2022-03-28,20220328,2022,Q1,3,Mar,202203,28,2021,FQ4,12,Monday,False,False,1.0,0.9161411411411412,0.9161411411411412
2022-03-29,20220329,2022,Q1,3,Mar,202203,29,2021,FQ4,12,Tuesday,False,False,1.0,0.9163288288288288,0.9163288288288288
2022-03-30,20220330,2022,Q1,3,Mar,202203,30,2021,FQ4,12,Wednesday,False,False,1.0,0.9165165165165166,0.9165165165165166
2022-03-31,20220331,2022,Q1,3,Mar,202203,31,2021,FQ4,12,Thursday,False,False,1.0,0.9167042042042042,0.9167042042042042
2022-04-01,20220401,2022,Q2,4,Apr,202204,1,2022,FQ1,1,Friday,False,False,1.02,0.9168918918918919,0.9352297297297297
2022-04-02,20220402,2022,Q2,4,Apr,202204,2,2022,FQ1,1,Saturday,True,False,1.1729999999999998,0.9170795795795796,1.0757343468468468
2022-04-03,20220403,2022,Q2,4,Apr,202204,3,2022,FQ1,1,Sunday,True,False,1.1729999999999998,0.9172672672672673,1.0759545045045042
2022-04-04,20220404,2022,Q2,4,Apr,202204,4,2022,FQ1,1,Monday,False,False,1.02,0.917454954954955,0.9358040540540541
2022-04-05,20220405,2022,Q2,4,Apr,202204,5,2022,FQ1,1,Tuesday,False,False,1.02,0.9176426426426426,0.9359954954954954
2022-04-06,20220406,2022,Q2,4,Apr,202204,6,2022,FQ1,1,Wednesday,False,False,1.02,0.9178303303303303,0.936186936936937
2022-04-07,20220407,2022,Q2,4,Apr,202204,7,2022,FQ1,1,Thursday,False,False,1.02,0.9180180180180181,0.9363783783783785
2022-04-08,20220408,2022,Q2,4,Apr,202204,8,2022,FQ1,1,Friday,False,False,1.02,0.9182057057057057,0.9365698198198198
2022-04-09,20220409,2022,Q2,4,Apr,202204,9,2022,FQ1,1,Saturday,True,False,1.1729999999999998,0.9183933933933934,1.0772754504504503
2022-04-10,20220410,2022,Q2,4,Apr,202204,10,2022,FQ1,1,Sunday,True,False,1.1729999999999998,0.918581081081081,1.077495608108108
2022-04-11,20220411,2022,Q2,4,Apr,202204,11,2022,FQ1,1,Monday,False,False,1.02,0.9187687687687688,0.9371441441441442
2022-04-12,20220412,2022,Q2,4,Apr,202204,12,2022,FQ1,1,Tuesday,False,False,1.02,0.9189564564564565,0.9373355855855857
2022-04-13,20220413,2022,Q2,4,Apr,202204,13,2022,FQ1,1,Wednesday,False,False,1.02,0.9191441441441441,0.9375270270270271
2022-04-14,20220414,2022,Q2,4,Apr,202204,14,2022,FQ1,1,Thursday,False,False,1.02,0.9193318318318319,0.9377184684684685
2022-04-15,20220415,2022,Q2,4,Apr,202204,15,2022,FQ1,1,Friday,False,False,1.02,0.9195195195195195,0.9379099099099099
2022-04-16,20220416,2022,Q2,4,Apr,202204,16,2022,FQ1,1,Saturday,True,False,1.1729999999999998,0.9197072072072072,1.078816554054054
2022-04-17,20220417,2022,Q2,4,Apr,202204,17,2022,FQ1,1,Sunday,True,False,1.1729999999999998,0.919894894894895,1.0790367117117117
2022-04-18,20220418,2022,Q2,4,Apr,202204,18,2022,FQ1,1,Monday,False,False,1.02,0.9200825825825826,0.9384842342342342
2022-04-19,20220419,2022,Q2,4,Apr,202204,19,2022,FQ1,1,Tuesday,False,False,1.02,0.9202702702702703,0.9386756756756758
2022-04-20,20220420,2022,Q2,4,Apr,202204,20,2022,FQ1,1,Wednesday,False,False,1.02,0.9204579579579579,0.9388671171171171
2022-04-21,20220421,2022,Q2,4,Apr,202204,21,2022,FQ1,1,Thursday,False,False,1.02,0.9206456456456457,0.9390585585585586
2022-04-22,20220422,2022,Q2,4,Apr,202204,22,2022,FQ1,1,Friday,False,False,1.02,0.9208333333333334,0.93925
2022-04-23,20220423,2022,Q2,4,Apr,202204,23,2022,FQ1,1,Saturday,True,False,1.1729999999999998,0.921021021021021,1.0803576576576575
2022-04-24,20220424,2022,Q2,4,Apr,202204,24,2022,FQ1,1,Sunday,True,False,1.1729999999999998,0.9212087087087087,1.0805778153153152
2022-04-25,20220425,2022,Q2,4,Apr,202204,25,2022,FQ1,1,Monday,False,False,1.02,0.9213963963963964,0.9398243243243243
2022-04-26,20220426,2022,Q2,4,Apr,202204,26,2022,FQ1,1,Tuesday,False,False,1.02,0.9215840840840841,0.9400157657657658
2022-04-27,20220427,2022,Q2,4,Apr,202204,27,2022,FQ1,1,Wednesday,False,False,1.02,0.9217717717717718,0.9402072072072073
2022-04-28,20220428,2022,Q2,4,Apr,202204,28,2022,FQ1,1,Thursday,False,False,1.02,0.9219594594594595,0.9403986486486486
2022-04-29,20220429,2022,Q2,4,Apr,202204,29,2022,FQ1,1,Friday,False,False,1.02,0.9221471471471472,0.9405900900900901
2022-04-30,20220430,2022,Q2,4,Apr,202204,30,2022,FQ1,1,Saturday,True,False,1.1729999999999998,0.9223348348348348,1.0818987612612612
2022-05-01,20220501,2022,Q2,5,May,202205,1,2022,FQ1,2,Sunday,True,False,1.2075,0.9225225225225225,1.113945945945946
2022-05-02,20220502,2022,Q2,5,May,202205,2,2022,FQ1,2,Monday,False,False,1.05,0.9227102102102103,0.9688457207207208
2022-05-03,20220503,2022,Q2,5,May,202205,3,2022,FQ1,2,Tuesday,False,False,1.05,0.9228978978978979,0.9690427927927928
2022-05-04,20220504,2022,Q2,5,May,202205,4,2022,FQ1,2,Wednesday,False,False,1.05,0.9230855855855856,0.9692398648648649
2022-05-05,20220505,2022,Q2,5,May,202205,5,2022,FQ1,2,Thursday,False,False,1.05,0.9232732732732732,0.969436936936937
2022-05-06,20220506,2022,Q2,5,May,202205,6,2022,FQ1,2,Friday,False,False,1.05,0.923460960960961,0.9696340090090091
2022-05-07,20220507,2022,Q2,5,May,202205,7,2022,FQ1,2,Saturday,True,False,1.2075,0.9236486486486487,1.1153057432432434
2022-05-08,20220508,2022,Q2,5,May,202205,8,2022,FQ1,2,Sunday,True,False,1.2075,0.9238363363363363,1.1155323761261262
2022-05-09,20220509,2022,Q2,5,May,202205,9,2022,FQ1,2,Monday,False,False,1.05,0.9240240240240241,0.9702252252252253
2022-05-10,20220510,2022,Q2,5,May,202205,10,2022,FQ1,2,Tuesday,False,False,1.05,0.9242117117117117,0.9704222972972973
2022-05-11,20220511,2022,Q2,5,May,202205,11,2022,FQ1,2,Wednesday,False,False,1.05,0.9243993993993994,0.9706193693693694
2022-05-12,20220512,2022,Q2,5,May,202205,12,2022,FQ1,2,Thursday,False,False,1.05,0.9245870870870871,0.9708164414414415
2022-05-13,20220513,2022,Q2,5,May,202205,13,2022,FQ1,2,Friday,False,False,1.05,0.9247747747747748,0.9710135135135135
2022-05-14,20220514,2022,Q2,5,May,202205,14,2022,FQ1,2,Saturday,True,False,1.2075,0.9249624624624625,1.1168921734234234
2022-05-15,20220515,2022,Q2,5,May,202205,15,2022,FQ1,2,Sunday,True,False,1.2075,0.9251501501501501,1.1171188063063062
2022-05-16,20220516,2022,Q2,5,May,202205,16,2022,FQ1,2,Monday,False,False,1.05,0.9253378378378379,0.9716047297297298
2022-05-17,20220517,2022,Q2,5,May,202205,17,2022,FQ1,2,Tuesday,False,False,1.05,0.9255255255255256,0.9718018018018019
2022-05-18,20220518,2022,Q2,5,May,202205,18,2022,FQ1,2,Wednesday,False,False,1.05,0.9257132132132132,0.971998873873874
2022-05-19,20220519,2022,Q2,5,May,202205,19,2022,FQ1,2,Thursday,False,False,1.05,0.9259009009009009,0.972195945945946
2022-05-20,20220520,2022,Q2,5,May,202205,20,2022,FQ1,2,Friday,False,False,1.05,0.9260885885885886,0.972393018018018
2022-05-21,20220521,2022,Q2,5,May,202205,21,2022,FQ1,2,Saturday,True,False,1.2075,0.9262762762762763,1.1184786036036036
2022-05-22,20220522,2022,Q2,5,May,202205,22,2022,FQ1,2,Sunday,True,False,1.2075,0.926463963963964,1.1187052364864867
2022-05-23,20220523,2022,Q2,5,May,202205,23,2022,FQ1,2,Monday,False,False,1.05,0.9266516516516516,0.9729842342342343
2022-05-24,20220524,2022,Q2,5,May,202205,24,2022,FQ1,2,Tuesday,False,False,1.05,0.9268393393393394,0.9731813063063064
2022-05-25,20220525,2022,Q2,5,May,202205,25,2022,FQ1,2,Wednesday,False,False,1.05,0.927027027027027,0.9733783783783784
2022-05-26,20220526,2022,Q2,5,May,202205,26,2022,FQ1,2,Thursday,False,False,1.05,0.9272147147147147,0.9735754504504505
2022-05-27,20220527,2022,Q2,5,May,202205,27,2022,FQ1,2,Friday,False,False,1.05,0.9274024024024025,0.9737725225225227
2022-05-28,20220528,2022,Q2,5,May,202205,28,2022,FQ1,2,Saturday,True,False,1.2075,0.9275900900900901,1.1200650337837839
2022-05-29,20220529,2022,Q2,5,May,202205,29,2022,FQ1,2,Sunday,True,False,1.2075,0.9277777777777778,1.1202916666666667
2022-05-30,20220530,2022,Q2,5,May,202205,30,2022,FQ1,2,Monday,False,False,1.05,0.9279654654654654,0.9743637387387387
2022-05-31,20220531,2022,Q2,5,May,202205,31,2022,FQ1,2,Tuesday,False,False,1.05,0.9281531531531532,0.9745608108108109
2022-06-01,20220601,2022,Q2,6,Jun,202206,1,2022,FQ1,3,Wednesday,False,False,1.08,0.9283408408408409,1.0026081081081082
2022-06-02,20220602,2022,Q2,6,Jun,202206,2,2022,FQ1,3,Thursday,False,False,1.08,0.9285285285285285,1.002810810810811
2022-06-03,20220603,2022,Q2,6,Jun,202206,3,2022,FQ1,3,Friday,False,False,1.08,0.9287162162162163,1.0030135135135136
2022-06-04,20220604,2022,Q2,6,Jun,202206,4,2022,FQ1,3,Saturday,True,False,1.242,0.9289039039039039,1.1536986486486487
2022-06-05,20220605,2022,Q2,6,Jun,202206,5,2022,FQ1,3,Sunday,True,False,1.242,0.9290915915915916,1.1539317567567569
2022-06-06,20220606,2022,Q2,6,Jun,202206,6,2022,FQ1,3,Monday,False,False,1.08,0.9292792792792793,1.0036216216216218
2022-06-07,20220607,2022,Q2,6,Jun,202206,7,2022,FQ1,3,Tuesday,False,False,1.08,0.929466966966967,1.0038243243243243
2022-06-08,20220608,2022,Q2,6,Jun,202206,8,2022,FQ1,3,Wednesday,False,False,1.08,0.9296546546546547,1.004027027027027
2022-06-09,20220609,2022,Q2,6,Jun,202206,9,2022,FQ1,3,Thursday,False,False,1.08,0.9298423423423423,1.0042297297297298
2022-06-10,20220610,2022,Q2,6,Jun,202206,10,2022,FQ1,3,Friday,False,False,1.08,0.93003003003003,1.0044324324324325
2022-06-11,20220611,2022,Q2,6,Jun,202206,11,2022,FQ1,3,Saturday,True,False,1.242,0.9302177177177178,1.1553304054054054
2022-06-12,20220612,2022,Q2,6,Jun,202206,12,2022,FQ1,3,Sunday,True,False,1.242,0.9304054054054054,1.1555635135135134
2022-06-13,20220613,2022,Q2,6,Jun,202206,13,2022,FQ1,3,Monday,False,False,1.08,0.9305930930930931,1.0050405405405407
2022-06-14,20220614,2022,Q2,6,Jun,202206,14,2022,FQ1,3,Tuesday,False,False,1.08,0.9307807807807807,1.0052432432432432
2022-06-15,20220615,2022,Q2,6,Jun,202206,15,2022,FQ1,3,Wednesday,False,False,1.08,0.9309684684684685,1.005445945945946
2022-06-16,20220616,2022,Q2,6,Jun,202206,16,2022,FQ1,3,Thursday,False,False,1.08,0.9311561561561562,1.0056486486486487
2022-06-17,20220617,2022,Q2,6,Jun,202206,17,2022,FQ1,3,Friday,False,False,1.08,0.9313438438438438,1.0058513513513514
2022-06-18,20220618,2022,Q2,6,Jun,202206,18,2022,FQ1,3,Saturday,True,False,1.242,0.9315315315315316,1.1569621621621622
2022-06-19,20220619,2022,Q2,6,Jun,202206,19,2022,FQ1,3,Sunday,True,False,1.242,0.9317192192192192,1.1571952702702701
2022-06-20,20220620,2022,Q2,6,Jun,202206,20,2022,FQ1,3,Monday,False,False,1.08,0.9319069069069069,1.0064594594594596
2022-06-21,20220621,2022,Q2,6,Jun,202206,21,2022,FQ1,3,Tuesday,False,False,1.08,0.9320945945945946,1.0066621621621623
2022-06-22,20220622,2022,Q2,6,Jun,202206,22,2022,FQ1,3,Wednesday,False,False,1.08,0.9322822822822823,1.0068648648648648
2022-06-23,20220623,2022,Q2,6,Jun,202206,23,2022,FQ1,3,Thursday,False,False,1.08,0.93246996996997,1.0070675675675678
2022-06-24,20220624,2022,Q2,6,Jun,202206,24,2022,FQ1,3,Friday,False,False,1.08,0.9326576576576576,1.0072702702702703
2022-06-25,20220625,2022,Q2,6,Jun,202206,25,2022,FQ1,3,Saturday,True,False,1.242,0.9328453453453454,1.158593918918919
2022-06-26,20220626,2022,Q2,6,Jun,202206,26,2022,FQ1,3,Sunday,True,False,1.242,0.9330330330330331,1.1588270270270271
2022-06-27,20220627,2022,Q2,6,Jun,202206,27,2022,FQ1,3,Monday,False,False,1.08,0.9332207207207207,1.0078783783783785
2022-06-28,20220628,2022,Q2,6,Jun,202206,28,2022,FQ1,3,Tuesday,False,False,1.08,0.9334084084084084,1.0080810810810812
2022-06-29,20220629,2022,Q2,6,Jun,202206,29,2022,FQ1,3,Wednesday,False,False,1.08,0.9335960960960961,1.008283783783784
2022-06-30,20220630,2022,Q2,6,Jun,202206,30,2022,FQ1,3,Thursday,False,False,1.08,0.9337837837837838,1.0084864864864866
2022-07-01,20220701,2022,Q3,7,Jul,202207,1,2022,FQ2,4,Friday,False,False,1.12,0.9339714714714715,1.0460480480480483
2022-07-02,20220702,2022,Q3,7,Jul,202207,2,2022,FQ2,4,Saturday,True,False,1.288,0.9341591591591591,1.2031969969969971
2022-07-03,20220703,2022,Q3,7,Jul,202207,3,2022,FQ2,4,Sunday,True,False,1.288,0.9343468468468469,1.2034387387387389
2022-07-04,20220704,2022,Q3,7,Jul,202207,4,2022,FQ2,4,Monday,False,False,1.12,0.9345345345345345,1.0466786786786788
2022-07-05,20220705,2022,Q3,7,Jul,202207,5,2022,FQ2,4,Tuesday,False,False,1.12,0.9347222222222222,1.046888888888889
2022-07-06,20220706,2022,Q3,7,Jul,202207,6,2022,FQ2,4,Wednesday,False,False,1.12,0.93490990990991,1.0470990990990992
2022-07-07,20220707,2022,Q3,7,Jul,202207,7,2022,FQ2,4,Thursday,False,False,1.12,0.9350975975975976,1.0473093093093093
2022-07-08,20220708,2022,Q3,7,Jul,202207,8,2022,FQ2,4,Friday,False,False,1.12,0.9352852852852853,1.0475195195195197
2022-07-09,20220709,2022,Q3,7,Jul,202207,9,2022,FQ2,4,Saturday,True,False,1.288,0.9354729729729729,1.204889189189189
2022-07-10,20220710,2022,Q3,7,Jul,202207,10,2022,FQ2,4,Sunday,True,False,1.288,0.9356606606606607,1.205130930930931
2022-07-11,20220711,2022,Q3,7,Jul,202207,11,2022,FQ2,4,Monday,False,False,1.12,0.9358483483483484,1.0481501501501502
2022-07-12,20220712,2022,Q3,7,Jul,202207,12,2022,FQ2,4,Tuesday,False,False,1.12,0.936036036036036,1.0483603603603604
2022-07-13,20220713,2022,Q3,7,Jul,202207,13,2022,FQ2,4,Wednesday,False,False,1.12,0.9362237237237238,1.0485705705705708
2022-07-14,20220714,2022,Q3,7,Jul,202207,14,2022,FQ2,4,Thursday,False,False,1.12,0.9364114114114114,1.0487807807807807
2022-07-15,20220715,2022,Q3,7,Jul,202207,15,2022,FQ2,4,Friday,False,False,1.12,0.9365990990990991,1.0489909909909911
2022-07-16,20220716,2022,Q3,7,Jul,202207,16,2022,FQ2,4,Saturday,True,False,1.288,0.9367867867867868,1.2065813813813815
2022-07-17,20220717,2022,Q3,7,Jul,202207,17,2022,FQ2,4,Sunday,True,False,1.288,0.9369744744744745,1.2068231231231232
