DateKey,ChannelID,Campaign,Sessions,Conversions,Spend
20220103,3,MKP_01,32,1,17.43
20220103,3,MKP_02,26,1,32.63
20220103,3,MKP_03,3,0,1.58
20220103,3,MKP_04,176,4,234.93
20220103,3,MKP_05,105,2,139.09
20220103,4,SEA_01,39,1,16.24
20220103,4,SEA_02,74,2,29.63
20220103,4,SEA_03,27,1,41.46
20220103,4,SEA_04,79,2,73.56
20220103,4,SEA_05,4,0,3.09
20220103,4,SEA_06,61,2,78.4
20220103,4,SEA_07,121,2,166.92
20220103,4,SEA_08,65,1,50.07
20220103,4,SEA_09,17,0,15.0
20220103,4,SEA_10,116,2,136.17
20220103,4,SEA_11,12,0,18.52
20220103,4,SEA_12,9,0,2.99
20220103,4,SEA_13,97,2,117.36
20220103,4,SEA_14,141,3,92.99
20220103,5,SOC_01,2,0,2.57
20220103,5,SOC_02,5,0,1.14
20220103,5,SOC_03,73,1,47.31
20220103,5,SOC_04,12,0,4.79
20220103,5,SOC_05,13,0,15.19
20220103,5,SOC_06,62,1,91.59
20220103,5,SOC_07,13,0,19.54
20220103,5,SOC_08,230,3,86.91
20220103,5,SOC_09,18,0,23.21
20220103,5,SOC_10,31,0,38.64
20220103,5,SOC_11,50,1,65.03
20220103,6,EM_01,22,1,0.0
20220103,6,EM_02,25,1,0.0
20220103,6,EM_03,75,4,0.0
20220103,6,EM_04,2,0,0.0
20220103,6,EM_05,7,0,0.0
20220103,6,EM_06,18,1,0.0
20220103,6,EM_07,85,4,0.0
20220103,7,AFF_01,4,0,6.12
20220103,7,AFF_02,69,1,66.89
20220103,7,AFF_03,6,0,8.25
20220103,7,AFF_04,13,0,15.29
20220103,7,AFF_05,18,0,9.55
20220103,7,AFF_06,4,0,2.94
20220103,7,AFF_07,17,0,24.49
20220103,7,AFF_08,5,0,4.22
20220103,7,AFF_09,10,0,9.46
20220104,1,ONLINE STORE,943,32,0.0
20220104,2,RETAIL,84,9,0.0
20220104,3,MKP_01,64,1,30.1
20220104,3,MKP_02,69,2,52.65
20220104,3,MKP_03,12,0,8.75
20220104,3,MKP_04,33,1,13.19
20220104,3,MKP_05,199,6,106.43
20220104,4,SEA_01,17,0,3.53
20220104,4,SEA_02,17,0,5.76
20220104,4,SEA_03,53,1,63.81
20220104,4,SEA_04,119,3,133.7
20220104,4,SEA_05,68,1,27.2
20220104,4,SEA_06,80,2,32.37
20220104,4,SEA_07,110,3,52.69
20220104,4,SEA_08,34,1,41.32
20220104,4,SEA_09,111,3,51.2
20220104,4,SEA_10,39,1,16.44
20220104,4,SEA_11,83,2,81.62
20220104,4,SEA_12,48,1,20.23
20220104,4,SEA_13,6,0,7.03
20220104,4,SEA_14,60,1,30.25
20220104,5,SOC_01,84,1,34.94
20220104,5,SOC_02,99,1,40.3
20220104,5,SOC_03,2,0,2.69
20220104,5,SOC_04,9,0,12.12
20220104,5,SOC_05,5,0,7.37
20220104,5,SOC_06,180,3,116.61
20220104,5,SOC_07,31,0,6.97
20220104,5,SOC_08,86,1,111.78
20220104,5,SOC_09,66,1,82.3
20220104,5,SOC_10,65,1,37.32
20220104,5,SOC_11,31,0,43.48
20220104,6,EM_01,22,1,0.0
20220104,6,EM_02,21,1,0.0
20220104,6,EM_03,13,0,0.0
20220104,6,EM_04,56,3,0.0
20220104,6,EM_05,45,3,0.0
20220104,6,EM_06,113,5,0.0
20220104,6,EM_07,30,1,0.0
20220104,7,AFF_01,7,0,2.88
20220104,7,AFF_02,16,0,22.12
20220104,7,AFF_03,24,0,7.49
20220104,7,AFF_04,4,0,5.44
20220104,7,AFF_05,55,1,52.44
20220104,7,AFF_06,61,1,46.51
20220104,7,AFF_08,15,0,10.65
20220104,7,AFF_09,16,0,20.61
20220105,1,ONLINE STORE,974,28,0.0
20220105,2,RETAIL,91,12,0.0
20220105,3,MKP_01,217,8,238.06
20220105,3,MKP_02,31,1,28.8
20220105,3,MKP_03,54,1,81.59
20220105,3,MKP_04,17,1,11.13
20220105,3,MKP_05,108,3,111.35
20220105,4,SEA_01,62,1,81.35
20220105,4,SEA_02,111,3,35.29
20220105,4,SEA_03,60,1,85.51
20220105,4,SEA_04,65,2,85.47
20220105,4,SEA_05,39,1,60.87
20220105,4,SEA_06,68,1,84.89
20220105,4,SEA_07,76,1,104.28
20220105,4,SEA_08,10,0,8.24
20220105,4,SEA_09,73,2,112.88
20220105,4,SEA_10,12,0,3.56
20220105,4,SEA_11,27,1,8.35
20220105,4,SEA_12,74,2,104.33
20220105,4,SEA_13,58,2,59.0
20220105,4,SEA_14,9,0,13.59
20220105,5,SOC_01,92,2,38.57
20220105,5,SOC_02,12,0,11.26
20220105,5,SOC_03,4,0,2.72
20220105,5,SOC_04,64,1,83.47
20220105,5,SOC_05,44,0,22.03
20220105,5,SOC_06,66,1,84.36
20220105,5,SOC_07,20,0,26.02
20220105,5,SOC_08,151,2,156.46
20220105,5,SOC_09,4,0,3.78
20220105,5,SOC_10,37,0,25.13
20220105,5,SOC_11,49,1,76.7
20220105,6,EM_01,68,2,0.0
20220105,6,EM_02,48,2,0.0
20220105,6,EM_03,5,0,0.0
20220105,6,EM_05,51,3,0.0
20220105,6,EM_06,27,1,0.0
20220105,6,EM_07,28,1,0.0
20220105,7,AFF_02,19,0,24.57
20220105,7,AFF_03,18,0,23.1
20220105,7,AFF_04,25,1,21.53
20220105,7,AFF_05,16,0,9.58
20220105,7,AFF_06,8,0,7.53
20220105,7,AFF_07,3,0,0.71
20220105,7,AFF_08,47,1,58.29
20220105,7,AFF_09,12,0,17.91
20220106,1,ONLINE STORE,1117,33,0.0
20220106,2,RETAIL,81,12,0.0
20220106,3,MKP_01,8,0,3.64
20220106,3,MKP_02,105,2,166.52
20220106,3,MKP_03,103,2,150.88
20220106,3,MKP_04,73,3,54.35
20220106,3,MKP_05,97,2,73.48
20220106,4,SEA_01,25,0,21.12
20220106,4,SEA_02,6,0,7.38
20220106,4,SEA_03,6,0,9.06
20220106,4,SEA_04,49,1,61.18
20220106,4,SEA_05,60,2,27.63
20220106,4,SEA_06,31,1,32.68
20220106,4,SEA_07,25,0,19.62
20220106,4,SEA_08,99,2,79.32
20220106,4,SEA_09,134,3,152.07
20220106,4,SEA_10,32,1,32.49
20220106,4,SEA_11,15,0,15.46
20220106,4,SEA_12,56,1,66.35
20220106,4,SEA_13,4,0,1.26
20220106,4,SEA_14,86,2,83.08
20220106,5,SOC_01,6,0,9.5
20220106,5,SOC_02,38,1,57.28
20220106,5,SOC_03,175,2,246.17
20220106,5,SOC_04,29,0,6.47
20220106,5,SOC_05,191,2,41.47
20220106,5,SOC_06,92,2,92.83
20220106,5,SOC_07,79,1,49.7
20220106,5,SOC_08,16,0,15.16
20220106,5,SOC_09,7,0,2.91
20220106,5,SOC_10,61,1,44.59
20220106,5,SOC_11,18,0,4.02
20220106,6,EM_01,26,1,0.0
20220106,6,EM_02,30,2,0.0
20220106,6,EM_03,3,0,0.0
20220106,6,EM_04,66,2,0.0
20220106,6,EM_05,33,2,0.0
20220106,6,EM_06,21,1,0.0
20220106,6,EM_07,37,2,0.0
20220106,7,AFF_01,17,0,5.18
20220106,7,AFF_02,1,0,1.45
20220106,7,AFF_03,4,0,2.24
20220106,7,AFF_04,3,0,1.16
20220106,7,AFF_05,13,0,12.59
20220106,7,AFF_06,27,0,32.5
20220106,7,AFF_07,17,0,26.36
20220106,7,AFF_08,65,1,70.69
20220106,7,AFF_09,24,0,17.22
20220107,1,ONLINE STORE,904,38,0.0
20220107,2,RETAIL,76,8,0.0
20220107,3,MKP_01,98,3,132.67
20220107,3,MKP_02,161,6,83.32
20220107,3,MKP_03,12,0,2.57
20220107,3,MKP_04,40,1,48.97
20220107,3,MKP_05,25,1,12.92
20220107,4,SEA_01,173,5,108.7
20220107,4,SEA_02,47,1,27.69
20220107,4,SEA_03,40,1,17.23
20220107,4,SEA_04,21,0,13.12
20220107,4,SEA_05,192,4,197.41
20220107,4,SEA_06,7,0,10.07
20220107,4,SEA_07,60,1,48.96
20220107,4,SEA_08,24,1,12.79
20220107,4,SEA_09,42,1,23.19
20220107,4,SEA_10,14,0,3.31
20220107,4,SEA_11,29,1,37.84
20220107,4,SEA_12,2,0,3.07
20220107,4,SEA_13,25,1,35.22
20220107,4,SEA_14,37,1,19.12
20220107,5,SOC_01,2,0,2.37
20220107,5,SOC_02,147,1,74.77
20220107,5,SOC_03,22,0,21.86
20220107,5,SOC_04,117,2,182.63
20220107,5,SOC_05,12,0,19.02
20220107,5,SOC_06,40,1,22.52
20220107,5,SOC_07,18,0,15.21
20220107,5,SOC_08,12,0,18.01
20220107,5,SOC_09,78,1,46.79
20220107,5,SOC_10,113,1,101.42
20220107,5,SOC_11,21,0,22.85
20220107,6,EM_01,70,3,0.0
20220107,6,EM_02,23,1,0.0
20220107,6,EM_03,8,0,0.0
20220107,6,EM_04,45,3,0.0
20220107,6,EM_05,15,1,0.0
20220107,6,EM_06,59,3,0.0
20220107,6,EM_07,24,1,0.0
20220107,7,AFF_01,23,0,19.14
20220107,7,AFF_02,29,1,11.84
20220107,7,AFF_03,17,0,11.73
20220107,7,AFF_04,2,0,0.88
20220107,7,AFF_05,15,0,7.82
20220107,7,AFF_06,3,0,1.73
20220107,7,AFF_07,19,0,17.78
20220107,7,AFF_08,15,0,10.04
20220107,7,AFF_09,28,0,42.8
20220108,1,ONLINE STORE,1328,42,0.0
20220108,2,RETAIL,93,11,0.0
20220108,3,MKP_01,63,2,62.14
20220108,3,MKP_02,127,5,199.13
20220108,3,MKP_03,52,1,18.2
20220108,3,MKP_04,91,3,25.31
20220108,3,MKP_05,109,4,71.95
20220108,4,SEA_01,27,0,9.27
20220108,4,SEA_02,116,3,30.75
20220108,4,SEA_03,66,1,103.69
20220108,4,SEA_04,3,0,1.23
20220108,4,SEA_05,100,2,141.75
20220108,4,SEA_06,27,1,27.67
20220108,4,SEA_07,49,1,74.95
20220108,4,SEA_08,21,1,27.72
20220108,4,SEA_09,31,1,37.65
20220108,4,SEA_10,28,1,32.97
20220108,4,SEA_11,288,6,445.18
20220108,4,SEA_12,110,2,28.79
20220108,4,SEA_13,33,1,41.88
20220108,4,SEA_14,30,1,43.42
20220108,5,SOC_01,3,0,0.64
20220108,5,SOC_02,15,0,15.46
20220108,5,SOC_03,149,1,150.11
20220108,5,SOC_04,21,0,17.01
20220108,5,SOC_05,113,1,109.21
20220108,5,SOC_06,73,1,43.76
20220108,5,SOC_07,7,0,3.73
20220108,5,SOC_08,20,0,21.0
20220108,5,SOC_09,88,1,114.15
20220108,5,SOC_10,42,1,38.79
20220108,5,SOC_11,31,1,43.56
20220108,6,EM_01,21,1,0.0
20220108,6,EM_02,39,2,0.0
20220108,6,EM_03,2,0,0.0
20220108,6,EM_04,79,3,0.0
20220108,6,EM_05,1,0,0.0
20220108,6,EM_06,39,2,0.0
20220108,6,EM_07,79,3,0.0
20220108,7,AFF_01,21,0,30.21
20220108,7,AFF_02,32,1,48.23
20220108,7,AFF_03,12,0,16.8
20220108,7,AFF_04,5,0,6.79
20220108,7,AFF_05,1,0,1.12
20220108,7,AFF_06,23,0,28.52
20220108,7,AFF_07,4,0,5.09
20220108,7,AFF_08,19,0,4.26
20220108,7,AFF_09,44,1,34.94
20220109,1,ONLINE STORE,993,44,0.0
20220109,2,RETAIL,103,11,0.0
20220109,3,MKP_01,120,4,151.29
20220109,3,MKP_02,30,1,43.75
20220109,3,MKP_03,116,4,101.09
20220109,3,MKP_04,2,0,2.22
20220109,3,MKP_05,254,7,96.73
20220109,4,SEA_01,47,1,26.41
20220109,4,SEA_02,73,2,57.46
20220109,4,SEA_03,199,6,75.65
20220109,4,SEA_04,61,1,17.36
20220109,4,SEA_05,25,0,6.57
20220109,4,SEA_06,30,1,15.83
20220109,4,SEA_07,217,5,262.32
20220109,4,SEA_08,13,0,8.6
20220109,4,SEA_09,14,0,17.64
20220109,4,SEA_10,36,1,43.15
20220109,4,SEA_11,35,1,52.75
20220109,4,SEA_12,260,7,110.03
20220109,4,SEA_13,22,0,18.98
20220109,4,SEA_14,27,0,14.22
20220109,5,SOC_01,28,0,5.8
20220109,5,SOC_02,39,1,55.78
20220109,5,SOC_03,22,0,20.56
20220109,5,SOC_04,93,1,140.85
20220109,5,SOC_05,74,1,89.56
20220109,5,SOC_06,7,0,9.78
20220109,5,SOC_07,119,2,152.09
20220109,5,SOC_08,7,0,9.1
20220109,5,SOC_09,93,1,35.09
20220109,5,SOC_10,64,1,17.04
20220109,5,SOC_11,31,0,16.22
20220109,6,EM_01,21,1,0.0
20220109,6,EM_02,56,3,0.0
20220109,6,EM_03,130,7,0.0
20220109,6,EM_04,36,2,0.0
20220109,6,EM_05,5,0,0.0
20220109,6,EM_06,35,2,0.0
20220109,6,EM_07,70,3,0.0
20220109,7,AFF_01,47,1,55.84
20220109,7,AFF_02,13,0,14.12
20220109,7,AFF_03,15,0,13.15
20220109,7,AFF_04,1,0,0.47
20220109,7,AFF_05,3,0,2.88
20220109,7,AFF_06,15,0,22.0
20220109,7,AFF_07,5,0,5.99
20220109,7,AFF_08,49,1,27.66
20220109,7,AFF_09,4,0,3.74
20220110,1,ONLINE STORE,1179,45,0.0
20220110,2,RETAIL,108,17,0.0
20220110,3,MKP_01,35,1,45.1
20220110,3,MKP_02,131,4,56.49
20220110,3,MKP_03,38,1,32.61
20220110,3,MKP_04,68,2,66.86
20220110,3,MKP_05,164,6,223.39
20220110,4,SEA_01,3,0,3.35
20220110,4,SEA_02,113,3,131.08
20220110,4,SEA_03,25,0,21.79
20220110,4,SEA_04,16,0,18.53
20220110,4,SEA_05,31,0,34.19
20220110,4,SEA_06,131,2,141.13
20220110,4,SEA_07,67,2,102.93
20220110,4,SEA_08,18,0,21.41
20220110,4,SEA_09,22,0,14.14
20220110,4,SEA_10,27,1,13.5
20220110,4,SEA_11,30,1,31.53
20220110,4,SEA_12,66,1,80.44
20220110,4,SEA_13,194,3,179.95
20220110,4,SEA_14,58,1,24.16
20220110,5,SOC_01,44,1,51.32
20220110,5,SOC_02,19,0,23.42
20220110,5,SOC_03,167,2,212.3
20220110,5,SOC_04,11,0,11.55
20220110,5,SOC_05,65,1,28.2
20220110,5,SOC_06,22,0,6.67
20220110,5,SOC_07,10,0,4.94
20220110,5,SOC_08,33,0,36.18
20220110,5,SOC_09,65,1,14.56
20220110,5,SOC_10,37,0,25.35
20220110,5,SOC_11,81,1,117.93
20220110,6,EM_01,88,4,0.0
20220110,6,EM_02,11,1,0.0
20220110,6,EM_03,47,2,0.0
20220110,6,EM_04,21,1,0.0
20220110,6,EM_05,25,1,0.0
20220110,6,EM_06,10,0,0.0
20220110,6,EM_07,90,4,0.0
20220110,7,AFF_01,5,0,1.31
20220110,7,AFF_02,35,1,23.08
20220110,7,AFF_03,21,0,29.66
20220110,7,AFF_04,8,0,11.32
20220110,7,AFF_05,4,0,0.82
20220110,7,AFF_06,7,0,4.43
20220110,7,AFF_07,47,1,45.32
20220110,7,AFF_08,40,1,14.47
20220110,7,AFF_09,39,1,39.86
20220111,1,ONLINE STORE,891,22,0.0
20220111,2,RETAIL,104,10,0.0
20220111,3,MKP_01,84,2,28.65
20220111,3,MKP_02,250,8,238.97
20220111,3,MKP_03,85,2,107.23
20220111,3,MKP_04,4,0,2.96
20220111,3,MKP_05,36,1,49.74
20220111,4,SEA_01,195,5,211.07
20220111,4,SEA_02,98,2,134.18
20220111,4,SEA_03,26,1,30.16
20220111,4,SEA_04,16,0,25.1
20220111,4,SEA_05,189,5,103.53
20220111,4,SEA_06,5,0,7.3
20220111,4,SEA_07,9,0,9.77
20220111,4,SEA_08,31,1,6.94
20220111,4,SEA_09,62,2,52.33
20220111,4,SEA_10,67,2,16.91
20220111,4,SEA_11,23,1,25.13
20220111,4,SEA_12,9,0,2.59
20220111,4,SEA_13,71,2,75.22
20220111,4,SEA_14,93,2,132.47
20220111,5,SOC_01,34,1,19.14
20220111,5,SOC_02,94,2,135.88
20220111,5,SOC_03,39,0,23.07
20220111,5,SOC_04,37,1,54.62
20220111,5,SOC_05,35,0,49.62
20220111,5,SOC_06,61,1,64.07
20220111,5,SOC_07,11,0,4.4
20220111,5,SOC_08,77,1,28.3
20220111,5,SOC_09,66,1,73.35
20220111,5,SOC_10,18,0,26.92
20220111,5,SOC_11,38,1,19.88
20220111,6,EM_01,52,2,0.0
20220111,6,EM_02,6,0,0.0
20220111,6,EM_03,3,0,0.0
20220111,6,EM_04,36,1,0.0
20220111,6,EM_05,56,2,0.0
20220111,6,EM_06,61,3,0.0
20220111,6,EM_07,48,3,0.0
20220111,7,AFF_01,3,0,3.8
20220111,7,AFF_02,7,0,7.74
20220111,7,AFF_03,35,1,30.33
20220111,7,AFF_04,8,0,2.34
20220111,7,AFF_05,18,0,18.98
20220111,7,AFF_06,9,0,6.6
20220111,7,AFF_07,18,0,15.91
20220111,7,AFF_08,15,0,13.49
20220111,7,AFF_09,9,0,9.36
20220112,1,ONLINE STORE,1133,44,0.0
20220112,2,RETAIL,62,9,0.0
20220112,3,MKP_01,27,1,15.97
20220112,3,MKP_02,139,3,170.57
20220112,3,MKP_03,165,5,42.25
20220112,3,MKP_04,85,3,53.48
20220112,3,MKP_05,25,1,32.14
20220112,4,SEA_01,150,4,151.99
20220112,4,SEA_02,91,2,103.22
20220112,4,SEA_03,14,0,13.71
20220112,4,SEA_04,90,2,103.63
20220112,4,SEA_05,65,1,74.08
20220112,4,SEA_06,50,1,68.3
20220112,4,SEA_07,141,3,178.6
20220112,4,SEA_08,28,1,39.52
20220112,4,SEA_09,4,0,2.13
20220112,4,SEA_10,17,0,9.97
20220112,4,SEA_11,8,0,10.99
20220112,4,SEA_12,28,1,23.21
20220112,4,SEA_13,11,0,14.18
20220112,4,SEA_14,47,1,25.2
20220112,5,SOC_01,225,2,96.01
20220112,5,SOC_02,20,0,13.23
20220112,5,SOC_03,41,1,63.73
20220112,5,SOC_04,44,0,58.13
20220112,5,SOC_05,3,0,4.16
20220112,5,SOC_06,82,1,108.88
20220112,5,SOC_07,34,1,16.04
20220112,5,SOC_08,76,1,109.87
20220112,5,SOC_09,64,1,50.28
20220112,5,SOC_10,94,1,88.4
20220112,5,SOC_11,20,0,27.78
20220112,6,EM_01,21,1,0.0
20220112,6,EM_02,1,0,0.0
20220112,6,EM_03,20,1,0.0
20220112,6,EM_04,51,3,0.0
20220112,6,EM_05,32,1,0.0
20220112,6,EM_06,3,0,0.0
20220112,6,EM_07,68,3,0.0
20220112,7,AFF_01,68,1,61.26
20220112,7,AFF_02,6,0,7.42
20220112,7,AFF_03,8,0,5.63
20220112,7,AFF_04,8,0,7.86
20220112,7,AFF_05,7,0,6.23
20220112,7,AFF_06,4,0,6.34
20220112,7,AFF_07,10,0,4.44
20220112,7,AFF_08,2,0,2.73
20220112,7,AFF_09,27,1,29.88
20220113,1,ONLINE STORE,1199,41,0.0
20220113,2,RETAIL,64,8,0.0
20220113,3,MKP_01,8,0,8.53
20220113,3,MKP_02,171,6,213.98
20220113,3,MKP_03,157,4,189.88
20220113,3,MKP_04,100,4,119.13
20220113,3,MKP_05,4,0,2.21
20220113,4,SEA_01,35,1,32.56
20220113,4,SEA_02,32,1,15.86
20220113,4,SEA_03,89,2,46.01
20220113,4,SEA_04,31,1,6.44
20220113,4,SEA_05,1,0,0.62
20220113,4,SEA_06,43,1,15.85
20220113,4,SEA_07,29,0,13.23
20220113,4,SEA_08,47,1,52.05
20220113,4,SEA_09,10,0,6.36
20220113,4,SEA_10,37,1,43.4
20220113,4,SEA_11,54,1,78.92
20220113,4,SEA_12,9,0,4.59
20220113,4,SEA_13,107,2,139.57
20220113,4,SEA_14,64,1,100.77
20220113,5,SOC_01,32,1,7.03
20220113,5,SOC_02,64,1,86.74
20220113,5,SOC_03,29,0,8.14
20220113,5,SOC_04,10,0,4.46
20220113,5,SOC_05,9,0,6.02
20220113,5,SOC_06,50,1,36.95
20220113,5,SOC_07,70,1,109.95
20220113,5,SOC_08,142,2,106.96
20220113,5,SOC_09,31,0,37.05
20220113,5,SOC_10,50,1,23.24
20220113,5,SOC_11,93,1,65.09
20220113,6,EM_01,28,1,0.0
20220113,6,EM_02,24,1,0.0
20220113,6,EM_03,38,2,0.0
20220113,6,EM_04,53,2,0.0
20220113,6,EM_05,42,2,0.0
20220113,6,EM_06,3,0,0.0
20220113,6,EM_07,42,2,0.0
20220113,7,AFF_01,38,1,34.72
20220113,7,AFF_03,41,1,17.52
20220113,7,AFF_04,18,0,20.15
20220113,7,AFF_05,10,0,10.55
20220113,7,AFF_06,5,0,4.06
20220113,7,AFF_07,9,0,10.72
20220113,7,AFF_08,11,0,7.0
20220113,7,AFF_09,9,0,7.23
20220114,1,ONLINE STORE,1230,52,0.0
20220114,2,RETAIL,70,8,0.0
20220114,3,MKP_01,29,1,42.73
20220114,3,MKP_02,97,2,102.44
20220114,3,MKP_03,21,1,15.31
20220114,3,MKP_04,154,4,81.72
20220114,3,MKP_05,57,1,26.75
20220114,4,SEA_01,27,1,15.83
20220114,4,SEA_02,72,2,62.41
20220114,4,SEA_03,105,2,98.03
20220114,4,SEA_04,7,0,7.96
20220114,4,SEA_05,20,0,16.28
20220114,4,SEA_06,33,1,50.51
20220114,4,SEA_08,129,4,202.67
20220114,4,SEA_09,8,0,9.24
20220114,4,SEA_10,62,1,90.28
20220114,4,SEA_11,14,0,20.72
20220114,4,SEA_12,7,0,9.93
20220114,4,SEA_13,210,5,184.68
20220114,4,SEA_14,140,4,30.68
20220114,5,SOC_01,23,0,8.14
20220114,5,SOC_02,12,0,8.73
20220114,5,SOC_03,23,0,31.86
20220114,5,SOC_04,149,2,234.66
20220114,5,SOC_05,20,0,25.66
20220114,5,SOC_06,7,0,6.29
20220114,5,SOC_07,160,2,254.49
20220114,5,SOC_08,33,0,30.34
20220114,5,SOC_09,27,0,41.09
20220114,5,SOC_10,45,1,31.69
20220114,5,SOC_11,16,0,8.22
20220114,6,EM_01,27,1,0.0
20220114,6,EM_02,13,1,0.0
20220114,6,EM_03,152,6,0.0
20220114,6,EM_04,4,0,0.0
20220114,6,EM_05,1,0,0.0
20220114,6,EM_06,4,0,0.0
20220114,6,EM_07,18,1,0.0
20220114,7,AFF_01,12,0,7.34
20220114,7,AFF_02,53,1,65.3
20220114,7,AFF_03,12,0,14.82
20220114,7,AFF_04,3,0,3.32
20220114,7,AFF_05,36,1,23.92
20220114,7,AFF_06,14,0,19.25
20220114,7,AFF_07,10,0,2.33
20220114,7,AFF_08,12,0,4.02
20220114,7,AFF_09,20,0,9.41
20220115,1,ONLINE STORE,993,41,0.0
20220115,2,RETAIL,91,13,0.0
20220115,3,MKP_01,67,1,38.6
20220115,3,MKP_02,22,0,11.08
20220115,3,MKP_03,11,0,11.75
20220115,3,MKP_04,121,3,46.02
20220115,3,MKP_05,154,5,31.21
20220115,4,SEA_01,123,3,109.26
20220115,4,SEA_02,64,1,94.82
20220115,4,SEA_03,43,1,51.41
20220115,4,SEA_04,24,1,9.61
20220115,4,SEA_05,2,0,1.86
20220115,4,SEA_06,8,0,12.26
20220115,4,SEA_07,5,0,7.62
20220115,4,SEA_08,13,0,3.59
20220115,4,SEA_09,184,5,166.15
20220115,4,SEA_10,26,0,16.27
20220115,4,SEA_11,21,0,28.5
20220115,4,SEA_12,15,0,23.4
20220115,4,SEA_13,303,6,385.4
20220115,4,SEA_14,100,2,81.56
20220115,5,SOC_01,64,1,69.64
20220115,5,SOC_02,68,1,34.74
20220115,5,SOC_03,62,1,20.56
20220115,5,SOC_04,8,0,5.13
20220115,5,SOC_05,35,0,38.66
20220115,5,SOC_06,4,0,5.2
20220115,5,SOC_07,80,1,40.84
20220115,5,SOC_08,76,1,56.64
20220115,5,SOC_09,56,1,33.67
20220115,5,SOC_10,32,0,47.71
20220115,5,SOC_11,110,2,136.35
20220115,6,EM_01,78,4,0.0
